,2010,2011,2012,2013,2014,2015,2016,2017,2018
service_producing_industries_10,"141,791,834","143,637,556","146,004,977","148,190,710","150,295,360","152,016,219","154,173,144","156,776,237","160,052,237"
goods_producing_industries_8,"31,821,818","32,776,567","33,616,437","33,995,076","34,270,416","34,138,730","33,618,445","34,399,214","35,301,743"
trade_11,"31,209,575","31,385,618","31,734,615","32,173,158","32,597,833","32,717,985","32,785,203","33,045,749","33,430,834"
health_care_and_social_assistance,"19,721,978","20,180,037","20,606,036","20,955,206","21,355,203","21,803,035","22,513,433","22,990,382","23,643,558"
manufacturing,"17,729,223","17,991,181","18,118,231","18,031,372","17,915,769","17,986,575","17,785,569","18,115,595","18,632,572"
educational_services,"13,975,980","13,918,851","14,099,649","14,445,800","14,607,770","14,789,904","15,029,767","15,340,862","15,794,613"
accommodation_and_food_services,"12,871,510","13,190,306","13,681,713","14,144,806","14,416,267","14,819,304","15,221,751","15,598,580","15,834,960"
public_administration,"12,573,065","12,683,785","12,554,740","12,492,263","12,535,611","12,522,709","12,804,136","13,071,284","13,430,618"
construction,"9,957,245","10,337,050","10,901,843","11,364,978","11,703,705","11,745,260","11,656,043","11,967,986","12,263,889"
professional_scientific_and_technical_services,"9,146,387","9,432,452","9,728,622","9,862,023","10,101,654","10,255,125","10,350,689","10,692,843","11,172,095"
"administrative_and_support,_waste_management_and_remediation_services","8,791,045","8,916,810","9,077,255","9,178,434","9,332,214","9,344,516","9,437,647","9,605,951","9,780,787"
transportation_and_warehousing,"7,908,753","8,080,707","8,314,203","8,466,205","8,572,898","8,654,740","8,728,165","8,858,361","9,108,680"
finance_and_insurance,"8,197,529","8,220,427","8,316,968","8,382,219","8,452,817","8,527,927","8,657,479","8,697,947","8,799,669"
other_services_except_public_administration,"6,120,225","6,251,497","6,339,576","6,455,275","6,558,420","6,566,550","6,441,750","6,491,413","6,581,951"
information_and_cultural_industries,"4,027,103","4,099,534","4,137,709","4,090,417","4,068,399","4,123,047","4,112,419","4,157,880","4,076,018"
arts_entertainment_and_recreation,"2,943,042","2,975,784","3,005,611","3,028,570","3,066,170","3,185,178","3,407,384","3,522,089","3,620,626"
unclassified_businesses_7,"3,249,457","3,464,307","3,271,692","2,960,012","2,718,548","3,175,798","3,625,353","3,981,551","4,118,569"
real_estate_and_rental_and_leasing,"3,013,778","3,051,056","3,069,808","3,231,408","3,368,197","3,467,903","3,509,312","3,533,199","3,530,101"
mining_quarrying_and_oil_and_gas_extraction,"2,239,938","2,484,611","2,654,786","2,712,236","2,782,253","2,541,639","2,277,879","2,397,361","2,443,190"
utilities,"1,416,922","1,481,580","1,469,043","1,426,670","1,405,673","1,383,958","1,420,657","1,442,479","1,489,397"
management_of_companies_and_enterprises,"1,291,861","1,250,694","1,338,471","1,284,928","1,261,907","1,238,302","1,174,017","1,169,706","1,247,727"
forestry_logging_and_support_9,"478,491","482,145","472,531","459,819","463,017","481,297","478,297","475,789","472,698"
,,,,,,,,,
,Good Producinv Industry,,Trade,,HealthCare & Social Assistance,,Manufacturing,,
,,,,,,,,,
,Mean,33770938.44,Mean,32342285.56,Mean,21529874.22,Mean,18034009.67,
,Standard Error,333500.9763,Standard Error,254911.2758,Standard Error,440131.3993,Standard Error,86979.89058,
,Median,33995076,Median,32597833,Median,21355203,Median,17991181,
,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,
,Standard Deviation,1000502.929,Standard Deviation,764733.8274,Standard Deviation,1320394.198,Standard Deviation,260939.6718,
,Sample Variance,1.00101E+12,Sample Variance,5.84818E+11,Sample Variance,1.74344E+12,Sample Variance,68089512294,
,Kurtosis,1.08021399,Kurtosis,-1.178219453,Kurtosis,-1.020713009,Kurtosis,3.580676374,
,Skewness,-0.701975306,Skewness,-0.274367918,Skewness,0.291705303,Skewness,1.53869481,
,Range,3479925,Range,2221259,Range,3921580,Range,903349,
,Minimum,31821818,Minimum,31209575,Minimum,19721978,Minimum,17729223,
,Maximum,35301743,Maximum,33430834,Maximum,23643558,Maximum,18632572,
,Sum,303938446,Sum,291080570,Sum,193768868,Sum,162306087,
,Count,9,Count,9,Count,9,Count,9,
